file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
0_s_0_d_17_cn_3_ct_0_com_0_con.mdg,3.1231152105114743,0,0,85,15,0,0
0_s_2_d_12_cn_6_ct_0_com_0_con.mdg,2.6292803225851737,0,10,60,30,0,0
0_s_7_d_5_cn_8_ct_0_com_0_con.mdg,2.2118871229321595,0,35,25,40,0,0
0_s_11_d_0_cn_9_ct_0_com_0_con.mdg,1.9836721060908076,0,55,0,45,0,0
0_s_12_d_8_cn_0_ct_0_com_0_con.mdg,3.1983666564642785,0,60,40,0,0,0
0_s_9_d_4_cn_7_ct_0_com_0_con.mdg,2.1989814586085004,0,45,20,35,0,0
0_s_1_d_17_cn_2_ct_0_com_0_con.mdg,3.2969465971115914,0,5,85,10,0,0
0_s_2_d_17_cn_1_ct_0_com_0_con.mdg,3.5530705419747597,0,10,85,5,0,0
0_s_10_d_10_cn_0_ct_0_com_0_con.mdg,3.354201864737177,0,50,50,0,0,0
0_s_9_d_10_cn_1_ct_0_com_0_con.mdg,3.0735800510818008,0,45,50,5,0,0
0_s_13_d_6_cn_1_ct_0_com_0_con.mdg,2.775379076401901,0,65,30,5,0,0
0_s_3_d_17_cn_0_ct_0_com_0_con.mdg,3.834142185270035,0,15,85,0,0,0
0_s_16_d_2_cn_2_ct_0_com_0_con.mdg,2.355339196545028,0,80,10,10,0,0
0_s_6_d_12_cn_2_ct_0_com_0_con.mdg,3.0417140915946472,0,30,60,10,0,0
0_s_3_d_15_cn_2_ct_0_com_0_con.mdg,3.1905984452655467,0,15,75,10,0,0
0_s_8_d_8_cn_4_ct_0_com_0_con.mdg,2.5469842102735054,0,40,40,20,0,0
0_s_13_d_4_cn_3_ct_0_com_0_con.mdg,2.392778964098944,0,65,20,15,0,0
0_s_15_d_2_cn_3_ct_0_com_0_con.mdg,2.2627611146471693,0,75,10,15,0,0
0_s_2_d_15_cn_3_ct_0_com_0_con.mdg,3.013829242311145,0,10,75,15,0,0
0_s_11_d_8_cn_1_ct_0_com_0_con.mdg,2.931678175403853,0,55,40,5,0,0
0_s_9_d_1_cn_10_ct_0_com_0_con.mdg,2.0131150849975437,0,45,5,50,0,0
0_s_10_d_3_cn_7_ct_0_com_0_con.mdg,2.1535539386249187,0,50,15,35,0,0
0_s_12_d_0_cn_8_ct_0_com_0_con.mdg,1.9954006447763368,0,60,0,40,0,0
0_s_9_d_6_cn_5_ct_0_com_0_con.mdg,2.3783064299585472,0,45,30,25,0,0
0_s_8_d_1_cn_11_ct_0_com_0_con.mdg,2.002158761736683,0,40,5,55,0,0
0_s_5_d_11_cn_4_ct_0_com_0_con.mdg,2.7303251709904433,0,25,55,20,0,0
0_s_0_d_16_cn_4_ct_0_com_0_con.mdg,3.007204751168093,0,0,80,20,0,0
0_s_15_d_4_cn_1_ct_0_com_0_con.mdg,2.6133061428669886,0,75,20,5,0,0
0_s_6_d_6_cn_8_ct_0_com_0_con.mdg,2.251997599767388,0,30,30,40,0,0
0_s_6_d_14_cn_0_ct_0_com_0_con.mdg,3.6699339419737167,0,30,70,0,0,0
0_s_4_d_11_cn_5_ct_0_com_0_con.mdg,2.6469393849926908,0,20,55,25,0,0
0_s_2_d_6_cn_12_ct_0_com_0_con.mdg,2.1551665310403996,0,10,30,60,0,0
0_s_1_d_10_cn_9_ct_0_com_0_con.mdg,2.3828887572693986,0,5,50,45,0,0
0_s_4_d_14_cn_2_ct_0_com_0_con.mdg,3.1222426233250977,0,20,70,10,0,0
0_s_10_d_5_cn_5_ct_0_com_0_con.mdg,2.327704780767987,0,50,25,25,0,0
0_s_11_d_7_cn_2_ct_0_com_0_con.mdg,2.6940553285570426,0,55,35,10,0,0
0_s_6_d_9_cn_5_ct_0_com_0_con.mdg,2.5307842812232217,0,30,45,25,0,0
0_s_18_d_1_cn_1_ct_0_com_0_con.mdg,2.4273237403542374,0,90,5,5,0,0
0_s_17_d_1_cn_2_ct_0_com_0_con.mdg,2.294838396288643,0,85,5,10,0,0
0_s_1_d_18_cn_1_ct_0_com_0_con.mdg,3.578379759078133,0,5,90,5,0,0
0_s_4_d_8_cn_8_ct_0_com_0_con.mdg,2.32941093634488,0,20,40,40,0,0
0_s_8_d_9_cn_3_ct_0_com_0_con.mdg,2.698163437540341,0,40,45,15,0,0
0_s_17_d_3_cn_0_ct_0_com_0_con.mdg,2.7856956043987884,0,85,15,0,0,0
0_s_4_d_16_cn_0_ct_0_com_0_con.mdg,3.7720936889448655,0,20,80,0,0,0
0_s_4_d_0_cn_16_ct_0_com_0_con.mdg,1.9388594786671305,0,20,0,80,0,0
0_s_2_d_14_cn_4_ct_0_com_0_con.mdg,2.9022331232266976,0,10,70,20,0,0
0_s_8_d_3_cn_9_ct_0_com_0_con.mdg,2.1075417689732645,0,40,15,45,0,0
0_s_0_d_8_cn_12_ct_0_com_0_con.mdg,2.218050063077116,0,0,40,60,0,0
0_s_5_d_6_cn_9_ct_0_com_0_con.mdg,2.222762217959806,0,25,30,45,0,0
0_s_16_d_4_cn_0_ct_0_com_0_con.mdg,2.85238584458493,0,80,20,0,0,0
0_s_1_d_1_cn_18_ct_0_com_0_con.mdg,1.9611545707222127,0,5,5,90,0,0
0_s_3_d_9_cn_8_ct_0_com_0_con.mdg,2.3747005417440215,0,15,45,40,0,0
0_s_4_d_2_cn_14_ct_0_com_0_con.mdg,2.007391396752022,0,20,10,70,0,0
0_s_6_d_0_cn_14_ct_0_com_0_con.mdg,1.9442801277031836,0,30,0,70,0,0
0_s_0_d_14_cn_6_ct_0_com_0_con.mdg,2.7278194997676644,0,0,70,30,0,0
0_s_0_d_1_cn_19_ct_0_com_0_con.mdg,1.9584755239084706,0,0,5,95,0,0
0_s_2_d_8_cn_10_ct_0_com_0_con.mdg,2.265835449378611,0,10,40,50,0,0
0_s_15_d_3_cn_2_ct_0_com_0_con.mdg,2.41252051803362,0,75,15,10,0,0
0_s_14_d_1_cn_5_ct_0_com_0_con.mdg,2.1084910662444063,0,70,5,25,0,0
0_s_7_d_2_cn_11_ct_0_com_0_con.mdg,2.038313362785628,0,35,10,55,0,0
0_s_13_d_5_cn_2_ct_0_com_0_con.mdg,2.557781931119033,0,65,25,10,0,0
0_s_3_d_14_cn_3_ct_0_com_0_con.mdg,3.019617305345535,0,15,70,15,0,0
0_s_8_d_2_cn_10_ct_0_com_0_con.mdg,2.0516784816564937,0,40,10,50,0,0
