project,file_name,ground_truth,MoJoFM,MoJoFM-D,MovesAndJoins,MaxDistance,static,dynamic,class_names,class_terms,commits,contributors
PartsUnlimitedMRP,0_s_8_d_7_cn_5_ct_0_com_0_con.mdg0_s_8_d_7_cn_5_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,40,35,25,0,0
PartsUnlimitedMRP,0_s_6_d_6_cn_8_ct_0_com_0_con.mdg0_s_6_d_6_cn_8_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,81.57894736842105,60.7843137254902,7.0,38.0,0,30,30,40,0,0
PartsUnlimitedMRP,0_s_3_d_7_cn_10_ct_0_com_0_con.mdg0_s_3_d_7_cn_10_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_552.rsf,81.57894736842105,60.7843137254902,7.0,38.0,0,15,35,50,0,0
PartsUnlimitedMRP,0_s_1_d_4_cn_15_ct_0_com_0_con.mdg0_s_1_d_4_cn_15_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_582.rsf,68.42105263157895,50.98039215686274,12.0,38.0,0,5,20,75,0,0
PartsUnlimitedMRP,0_s_6_d_12_cn_2_ct_0_com_0_con.mdg0_s_6_d_12_cn_2_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_641.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,30,60,10,0,0
PartsUnlimitedMRP,0_s_6_d_7_cn_7_ct_0_com_0_con.mdg0_s_6_d_7_cn_7_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,30,35,35,0,0
PartsUnlimitedMRP,0_s_1_d_2_cn_17_ct_0_com_0_con.mdg0_s_1_d_2_cn_17_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_582.rsf,55.263157894736835,41.17647058823529,17.0,38.0,0,5,10,85,0,0
PartsUnlimitedMRP,0_s_3_d_8_cn_9_ct_0_com_0_con.mdg0_s_3_d_8_cn_9_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,15,40,45,0,0
PartsUnlimitedMRP,0_s_7_d_1_cn_12_ct_0_com_0_con.mdg0_s_7_d_1_cn_12_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,76.31578947368422,56.86274509803921,9.0,38.0,0,35,5,60,0,0
PartsUnlimitedMRP,0_s_3_d_13_cn_4_ct_0_com_0_con.mdg0_s_3_d_13_cn_4_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_581.rsf,81.57894736842105,60.7843137254902,7.0,38.0,0,15,65,20,0,0
PartsUnlimitedMRP,0_s_12_d_6_cn_2_ct_0_com_0_con.mdg0_s_12_d_6_cn_2_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_816.rsf,84.21052631578947,62.745098039215684,6.0,38.0,0,60,30,10,0,0
PartsUnlimitedMRP,0_s_20_d_0_cn_0_ct_0_com_0_con.mdg0_s_20_d_0_cn_0_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_80.rsf,67.85714285714286,46.34146341463414,9.0,28.0,0,100,0,0,0,0
PartsUnlimitedMRP,0_s_0_d_19_cn_1_ct_0_com_0_con.mdg0_s_0_d_19_cn_1_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_828.rsf,81.57894736842105,60.7843137254902,7.0,38.0,0,0,95,5,0,0
PartsUnlimitedMRP,0_s_0_d_0_cn_20_ct_0_com_0_con.mdg0_s_0_d_0_cn_20_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_102.rsf,57.89473684210527,43.13725490196079,16.0,38.0,0,0,0,100,0,0
PartsUnlimitedMRP,0_s_16_d_2_cn_2_ct_0_com_0_con.mdg0_s_16_d_2_cn_2_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,97.36842105263158,72.54901960784314,1.0,38.0,0,80,10,10,0,0
PartsUnlimitedMRP,0_s_2_d_18_cn_0_ct_0_com_0_con.mdg0_s_2_d_18_cn_0_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_641.rsf,81.08108108108108,60.0,7.0,37.0,0,10,90,0,0,0
PartsUnlimitedMRP,0_s_2_d_0_cn_18_ct_0_com_0_con.mdg0_s_2_d_0_cn_18_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_582.rsf,55.263157894736835,41.17647058823529,17.0,38.0,0,10,0,90,0,0
PartsUnlimitedMRP,0_s_4_d_1_cn_15_ct_0_com_0_con.mdg0_s_4_d_1_cn_15_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_582.rsf,55.263157894736835,41.17647058823529,17.0,38.0,0,20,5,75,0,0
PartsUnlimitedMRP,0_s_4_d_13_cn_3_ct_0_com_0_con.mdg0_s_4_d_13_cn_3_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_828.rsf,81.57894736842105,60.7843137254902,7.0,38.0,0,20,65,15,0,0
PartsUnlimitedMRP,0_s_1_d_8_cn_11_ct_0_com_0_con.mdg0_s_1_d_8_cn_11_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,5,40,55,0,0
PartsUnlimitedMRP,0_s_7_d_10_cn_3_ct_0_com_0_con.mdg0_s_7_d_10_cn_3_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_581.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,35,50,15,0,0
PartsUnlimitedMRP,0_s_3_d_17_cn_0_ct_0_com_0_con.mdg0_s_3_d_17_cn_0_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_509.rsf,75.67567567567568,56.00000000000001,9.0,37.0,0,15,85,0,0,0
PartsUnlimitedMRP,0_s_2_d_6_cn_12_ct_0_com_0_con.mdg0_s_2_d_6_cn_12_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_959.rsf,55.263157894736835,41.17647058823529,17.0,38.0,0,10,30,60,0,0
PartsUnlimitedMRP,0_s_12_d_2_cn_6_ct_0_com_0_con.mdg0_s_12_d_2_cn_6_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,60,10,30,0,0
PartsUnlimitedMRP,0_s_9_d_4_cn_7_ct_0_com_0_con.mdg0_s_9_d_4_cn_7_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,86.8421052631579,64.70588235294117,5.0,38.0,0,45,20,35,0,0
PartsUnlimitedMRP,0_s_2_d_17_cn_1_ct_0_com_0_con.mdg0_s_2_d_17_cn_1_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_816.rsf,84.21052631578947,62.745098039215684,6.0,38.0,0,10,85,5,0,0
PartsUnlimitedMRP,0_s_5_d_13_cn_2_ct_0_com_0_con.mdg0_s_5_d_13_cn_2_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_581.rsf,76.31578947368422,56.86274509803921,9.0,38.0,0,25,65,10,0,0
PartsUnlimitedMRP,0_s_5_d_14_cn_1_ct_0_com_0_con.mdg0_s_5_d_14_cn_1_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_581.rsf,81.57894736842105,60.7843137254902,7.0,38.0,0,25,70,5,0,0
PartsUnlimitedMRP,0_s_7_d_2_cn_11_ct_0_com_0_con.mdg0_s_7_d_2_cn_11_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_959.rsf,55.263157894736835,41.17647058823529,17.0,38.0,0,35,10,55,0,0
PartsUnlimitedMRP,0_s_5_d_1_cn_14_ct_0_com_0_con.mdg0_s_5_d_1_cn_14_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_576.rsf,73.6842105263158,54.90196078431373,10.0,38.0,0,25,5,70,0,0
PartsUnlimitedMRP,0_s_11_d_7_cn_2_ct_0_com_0_con.mdg0_s_11_d_7_cn_2_ct_0_com_0_con.mdg.bunch,PartsUnlimitedMRP_828.rsf,78.94736842105263,58.82352941176471,8.0,38.0,0,55,35,10,0,0
