file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
0_s_0_d_17_cn_3_ct_0_com_0_con.mdg,3.692803405976447,0,0,85,15,0,0
0_s_2_d_12_cn_6_ct_0_com_0_con.mdg,3.1007239317761064,0,10,60,30,0,0
0_s_7_d_5_cn_8_ct_0_com_0_con.mdg,2.5198916164764817,0,35,25,40,0,0
0_s_11_d_0_cn_9_ct_0_com_0_con.mdg,2.441461560424014,0,55,0,45,0,0
0_s_12_d_8_cn_0_ct_0_com_0_con.mdg,3.963128676645935,0,60,40,0,0,0
0_s_9_d_4_cn_7_ct_0_com_0_con.mdg,2.528170196777608,0,45,20,35,0,0
0_s_1_d_17_cn_2_ct_0_com_0_con.mdg,3.8631862719613874,0,5,85,10,0,0
0_s_2_d_17_cn_1_ct_0_com_0_con.mdg,4.103843387952205,0,10,85,5,0,0
0_s_10_d_10_cn_0_ct_0_com_0_con.mdg,4.229507498780473,0,50,50,0,0,0
0_s_9_d_10_cn_1_ct_0_com_0_con.mdg,3.727265173578238,0,45,50,5,0,0
0_s_13_d_6_cn_1_ct_0_com_0_con.mdg,3.4354144589041558,0,65,30,5,0,0
0_s_3_d_17_cn_0_ct_0_com_0_con.mdg,4.502338212517529,0,15,85,0,0,0
0_s_16_d_2_cn_2_ct_0_com_0_con.mdg,2.7885701316539935,0,80,10,10,0,0
0_s_6_d_12_cn_2_ct_0_com_0_con.mdg,3.685349776494967,0,30,60,10,0,0
0_s_3_d_15_cn_2_ct_0_com_0_con.mdg,3.80003617077521,0,15,75,10,0,0
0_s_8_d_8_cn_4_ct_0_com_0_con.mdg,3.1184360683849732,0,40,40,20,0,0
0_s_13_d_4_cn_3_ct_0_com_0_con.mdg,2.957867249187907,0,65,20,15,0,0
0_s_15_d_2_cn_3_ct_0_com_0_con.mdg,2.644397512712563,0,75,10,15,0,0
0_s_2_d_15_cn_3_ct_0_com_0_con.mdg,3.6190026231035444,0,10,75,15,0,0
0_s_11_d_8_cn_1_ct_0_com_0_con.mdg,3.7295374145555966,0,55,40,5,0,0
0_s_9_d_1_cn_10_ct_0_com_0_con.mdg,2.4175398979473344,0,45,5,50,0,0
0_s_10_d_3_cn_7_ct_0_com_0_con.mdg,2.49642354364501,0,50,15,35,0,0
0_s_12_d_0_cn_8_ct_0_com_0_con.mdg,2.4536671498393416,0,60,0,40,0,0
0_s_9_d_6_cn_5_ct_0_com_0_con.mdg,2.8001538601109717,0,45,30,25,0,0
0_s_8_d_1_cn_11_ct_0_com_0_con.mdg,2.496205526176863,0,40,5,55,0,0
0_s_5_d_11_cn_4_ct_0_com_0_con.mdg,3.23784841211888,0,25,55,20,0,0
0_s_0_d_16_cn_4_ct_0_com_0_con.mdg,3.304455802675874,0,0,80,20,0,0
0_s_15_d_4_cn_1_ct_0_com_0_con.mdg,3.274730601201725,0,75,20,5,0,0
0_s_6_d_6_cn_8_ct_0_com_0_con.mdg,2.5648356171081472,0,30,30,40,0,0
0_s_6_d_14_cn_0_ct_0_com_0_con.mdg,4.340176703518661,0,30,70,0,0,0
0_s_4_d_11_cn_5_ct_0_com_0_con.mdg,3.1576667948545367,0,20,55,25,0,0
0_s_2_d_6_cn_12_ct_0_com_0_con.mdg,2.493213626678304,0,10,30,60,0,0
0_s_1_d_10_cn_9_ct_0_com_0_con.mdg,2.786999815639524,0,5,50,45,0,0
0_s_4_d_14_cn_2_ct_0_com_0_con.mdg,3.7437378895708995,0,20,70,10,0,0
0_s_10_d_5_cn_5_ct_0_com_0_con.mdg,2.802566267199306,0,50,25,25,0,0
0_s_11_d_7_cn_2_ct_0_com_0_con.mdg,3.2973875932772403,0,55,35,10,0,0
0_s_6_d_9_cn_5_ct_0_com_0_con.mdg,3.0555836524012094,0,30,45,25,0,0
0_s_18_d_1_cn_1_ct_0_com_0_con.mdg,2.947818982906113,0,90,5,5,0,0
0_s_17_d_1_cn_2_ct_0_com_0_con.mdg,2.7252324528290774,0,85,5,10,0,0
0_s_1_d_18_cn_1_ct_0_com_0_con.mdg,4.193628409479917,0,5,90,5,0,0
0_s_4_d_8_cn_8_ct_0_com_0_con.mdg,2.7531902328828686,0,20,40,40,0,0
0_s_8_d_9_cn_3_ct_0_com_0_con.mdg,3.2746630985981673,0,40,45,15,0,0
0_s_17_d_3_cn_0_ct_0_com_0_con.mdg,3.609171505491525,0,85,15,0,0,0
0_s_4_d_16_cn_0_ct_0_com_0_con.mdg,4.464893939666894,0,20,80,0,0,0
0_s_4_d_0_cn_16_ct_0_com_0_con.mdg,2.594404670396752,0,20,0,80,0,0
0_s_2_d_14_cn_4_ct_0_com_0_con.mdg,3.38595291553062,0,10,70,20,0,0
0_s_8_d_3_cn_9_ct_0_com_0_con.mdg,2.4342880420538995,0,40,15,45,0,0
0_s_0_d_8_cn_12_ct_0_com_0_con.mdg,2.5599602330181197,0,0,40,60,0,0
0_s_5_d_6_cn_9_ct_0_com_0_con.mdg,2.5918371786375136,0,25,30,45,0,0
0_s_16_d_4_cn_0_ct_0_com_0_con.mdg,3.6978583906278275,0,80,20,0,0,0
0_s_1_d_1_cn_18_ct_0_com_0_con.mdg,2.6117180603781556,0,5,5,90,0,0
0_s_3_d_9_cn_8_ct_0_com_0_con.mdg,2.802853340390853,0,15,45,40,0,0
0_s_4_d_2_cn_14_ct_0_com_0_con.mdg,2.531376319955092,0,20,10,70,0,0
0_s_6_d_0_cn_14_ct_0_com_0_con.mdg,2.508872106360569,0,30,0,70,0,0
0_s_0_d_14_cn_6_ct_0_com_0_con.mdg,3.1839140377674955,0,0,70,30,0,0
0_s_0_d_1_cn_19_ct_0_com_0_con.mdg,2.607094912895599,0,0,5,95,0,0
0_s_2_d_8_cn_10_ct_0_com_0_con.mdg,2.598734272307873,0,10,40,50,0,0
0_s_15_d_3_cn_2_ct_0_com_0_con.mdg,2.8981075119892497,0,75,15,10,0,0
0_s_14_d_1_cn_5_ct_0_com_0_con.mdg,2.520649117444691,0,70,5,25,0,0
0_s_7_d_2_cn_11_ct_0_com_0_con.mdg,2.483308305699369,0,35,10,55,0,0
0_s_13_d_5_cn_2_ct_0_com_0_con.mdg,3.227000575625959,0,65,25,10,0,0
0_s_3_d_14_cn_3_ct_0_com_0_con.mdg,3.4480158946998527,0,15,70,15,0,0
0_s_8_d_2_cn_10_ct_0_com_0_con.mdg,2.4159365594389066,0,40,10,50,0,0
0_s_14_d_4_cn_2_ct_0_com_0_con.mdg,2.9933911254902785,0,70,20,10,0,0
0_s_8_d_0_cn_12_ct_0_com_0_con.mdg,2.499958899761978,0,40,0,60,0,0
0_s_5_d_2_cn_13_ct_0_com_0_con.mdg,2.396842142631179,0,25,10,65,0,0
0_s_6_d_7_cn_7_ct_0_com_0_con.mdg,2.7663798697111774,0,30,35,35,0,0
