project,file_name,ground_truth,MoJoFM,MoJoFM-D,MovesAndJoins,MaxDistance,static,dynamic,class_names,class_terms,commits,contributors
everest,0_s_0_d_8_cn_0_ct_12_com_0_con.mdg0_s_0_d_8_cn_0_ct_12_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,40,0,60,0
everest,0_s_4_d_10_cn_3_ct_3_com_0_con.mdg0_s_4_d_10_cn_3_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,50,15,15,0
everest,0_s_0_d_0_cn_12_ct_8_com_0_con.mdg0_s_0_d_0_cn_12_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,0,60,40,0
everest,0_s_8_d_7_cn_5_ct_0_com_0_con.mdg0_s_8_d_7_cn_5_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,40,35,25,0,0
everest,0_s_0_d_17_cn_0_ct_3_com_0_con.mdg0_s_0_d_17_cn_0_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,85,0,15,0
everest,0_s_0_d_9_cn_6_ct_5_com_0_con.mdg0_s_0_d_9_cn_6_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,45,30,25,0
everest,0_s_3_d_3_cn_5_ct_9_com_0_con.mdg0_s_3_d_3_cn_5_ct_9_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,15,25,45,0
everest,0_s_3_d_14_cn_0_ct_3_com_0_con.mdg0_s_3_d_14_cn_0_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,70,0,15,0
everest,0_s_8_d_5_cn_4_ct_3_com_0_con.mdg0_s_8_d_5_cn_4_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,40,25,20,15,0
everest,0_s_10_d_2_cn_6_ct_2_com_0_con.mdg0_s_10_d_2_cn_6_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,50,10,30,10,0
everest,0_s_4_d_11_cn_4_ct_1_com_0_con.mdg0_s_4_d_11_cn_4_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,55,20,5,0
everest,0_s_10_d_5_cn_1_ct_4_com_0_con.mdg0_s_10_d_5_cn_1_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,50,25,5,20,0
everest,0_s_5_d_1_cn_0_ct_14_com_0_con.mdg0_s_5_d_1_cn_0_ct_14_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,5,0,70,0
everest,0_s_2_d_3_cn_14_ct_1_com_0_con.mdg0_s_2_d_3_cn_14_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,15,70,5,0
everest,0_s_13_d_0_cn_2_ct_5_com_0_con.mdg0_s_13_d_0_cn_2_ct_5_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,65,0,10,25,0
everest,0_s_5_d_2_cn_10_ct_3_com_0_con.mdg0_s_5_d_2_cn_10_ct_3_com_0_con.mdg.bunch,everest_6.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,10,50,15,0
everest,0_s_2_d_9_cn_0_ct_9_com_0_con.mdg0_s_2_d_9_cn_0_ct_9_com_0_con.mdg.bunch,everest_7.rsf,62.5,45.45454545454546,3.0,8.0,0,10,45,0,45,0
everest,0_s_5_d_1_cn_6_ct_8_com_0_con.mdg0_s_5_d_1_cn_6_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,5,30,40,0
everest,0_s_8_d_1_cn_4_ct_7_com_0_con.mdg0_s_8_d_1_cn_4_ct_7_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,40,5,20,35,0
everest,0_s_3_d_1_cn_11_ct_5_com_0_con.mdg0_s_3_d_1_cn_11_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,5,55,25,0
everest,0_s_4_d_4_cn_1_ct_11_com_0_con.mdg0_s_4_d_4_cn_1_ct_11_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,20,5,55,0
everest,0_s_16_d_0_cn_2_ct_2_com_0_con.mdg0_s_16_d_0_cn_2_ct_2_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,80,0,10,10,0
