file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
0_s_7_d_3_cn_5_ct_5_com_0_con.mdg,1.388681143021055,0,35,15,25,25,0
0_s_4_d_8_cn_5_ct_3_com_0_con.mdg,1.5508641821929197,0,20,40,25,15,0
0_s_4_d_4_cn_0_ct_12_com_0_con.mdg,1.8871279164798904,0,20,20,0,60,0
0_s_4_d_4_cn_4_ct_8_com_0_con.mdg,1.5561964449255576,0,20,20,20,40,0
0_s_2_d_7_cn_7_ct_4_com_0_con.mdg,1.2835086859330747,0,10,35,35,20,0
0_s_7_d_6_cn_1_ct_6_com_0_con.mdg,1.7909880224634878,0,35,30,5,30,0
0_s_0_d_17_cn_3_ct_0_com_0_con.mdg,1.6270422566363627,0,0,85,15,0,0
0_s_2_d_12_cn_6_ct_0_com_0_con.mdg,1.559480502692584,0,10,60,30,0,0
0_s_7_d_5_cn_8_ct_0_com_0_con.mdg,1.4136419063532215,0,35,25,40,0,0
0_s_4_d_6_cn_0_ct_10_com_0_con.mdg,1.8747149398250733,0,20,30,0,50,0
0_s_3_d_1_cn_6_ct_10_com_0_con.mdg,1.4302082927022668,0,15,5,30,50,0
0_s_3_d_6_cn_9_ct_2_com_0_con.mdg,1.3645821449569895,0,15,30,45,10,0
0_s_15_d_0_cn_2_ct_3_com_0_con.mdg,2.0090493682602686,0,75,0,10,15,0
0_s_10_d_1_cn_0_ct_9_com_0_con.mdg,2.115660213392838,0,50,5,0,45,0
0_s_6_d_10_cn_2_ct_2_com_0_con.mdg,1.8475901572639053,0,30,50,10,10,0
0_s_4_d_10_cn_0_ct_6_com_0_con.mdg,1.9129486166497198,0,20,50,0,30,0
0_s_11_d_0_cn_9_ct_0_com_0_con.mdg,1.3715598383824417,0,55,0,45,0,0
0_s_4_d_0_cn_0_ct_16_com_0_con.mdg,1.9832903919224263,0,20,0,0,80,0
0_s_2_d_1_cn_6_ct_11_com_0_con.mdg,1.4244154575680015,0,10,5,30,55,0
0_s_0_d_12_cn_4_ct_4_com_0_con.mdg,1.5937321546568648,0,0,60,20,20,0
0_s_6_d_4_cn_1_ct_9_com_0_con.mdg,1.8235372925657904,0,30,20,5,45,0
0_s_9_d_4_cn_6_ct_1_com_0_con.mdg,1.5445184982499056,0,45,20,30,5,0
0_s_4_d_2_cn_0_ct_14_com_0_con.mdg,1.8903174844433557,0,20,10,0,70,0
0_s_16_d_2_cn_0_ct_2_com_0_con.mdg,2.5890224940516635,0,80,10,0,10,0
0_s_15_d_0_cn_1_ct_4_com_0_con.mdg,1.97486704166589,0,75,0,5,20,0
0_s_6_d_2_cn_8_ct_4_com_0_con.mdg,1.37368710506862,0,30,10,40,20,0
0_s_11_d_3_cn_0_ct_6_com_0_con.mdg,2.142360072901893,0,55,15,0,30,0
0_s_12_d_8_cn_0_ct_0_com_0_con.mdg,2.1274401600591735,0,60,40,0,0,0
0_s_6_d_0_cn_0_ct_14_com_0_con.mdg,2.0269017208331754,0,30,0,0,70,0
0_s_9_d_4_cn_7_ct_0_com_0_con.mdg,1.4959809578333636,0,45,20,35,0,0
0_s_6_d_10_cn_0_ct_4_com_0_con.mdg,2.0149147656751394,0,30,50,0,20,0
0_s_15_d_0_cn_0_ct_5_com_0_con.mdg,2.2254543667945903,0,75,0,0,25,0
0_s_0_d_1_cn_6_ct_13_com_0_con.mdg,1.41502155817235,0,0,5,30,65,0
0_s_10_d_4_cn_2_ct_4_com_0_con.mdg,1.8556494251949172,0,50,20,10,20,0
0_s_1_d_17_cn_2_ct_0_com_0_con.mdg,1.7019974284464814,0,5,85,10,0,0
0_s_3_d_9_cn_7_ct_1_com_0_con.mdg,1.4750603631341423,0,15,45,35,5,0
0_s_11_d_0_cn_8_ct_1_com_0_con.mdg,1.3570990778271783,0,55,0,40,5,0
0_s_0_d_3_cn_6_ct_11_com_0_con.mdg,1.3574657264594707,0,0,15,30,55,0
0_s_0_d_5_cn_1_ct_14_com_0_con.mdg,1.711053520308253,0,0,25,5,70,0
0_s_7_d_3_cn_7_ct_3_com_0_con.mdg,1.4391504325388125,0,35,15,35,15,0
0_s_1_d_1_cn_17_ct_1_com_0_con.mdg,1.1006208930041528,0,5,5,85,5,0
0_s_1_d_3_cn_6_ct_10_com_0_con.mdg,1.4213638844471168,0,5,15,30,50,0
0_s_6_d_4_cn_0_ct_10_com_0_con.mdg,1.8663474478664157,0,30,20,0,50,0
0_s_10_d_1_cn_1_ct_8_com_0_con.mdg,1.945411671177584,0,50,5,5,40,0
0_s_15_d_0_cn_3_ct_2_com_0_con.mdg,1.7437972339136552,0,75,0,15,10,0
0_s_3_d_6_cn_8_ct_3_com_0_con.mdg,1.3921161502604131,0,15,30,40,15,0
0_s_0_d_12_cn_6_ct_2_com_0_con.mdg,1.524166203047278,0,0,60,30,10,0
0_s_1_d_1_cn_6_ct_12_com_0_con.mdg,1.4118449978774021,0,5,5,30,60,0
0_s_7_d_6_cn_0_ct_7_com_0_con.mdg,1.9747076705808317,0,35,30,0,35,0
